"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)","10.0.20","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.Maui.Manifest-10.0.100-rc.2 (x64)","80.0.42184","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)","255.222.10191","Microsoft Corporation","20260211"
"Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation","20260121"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.148.44025","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation","20260211"
"Mind+ 2.0.5","2.0.5","DFRobot",
"Mozilla Firefox (x64 en-US)","147.0.4","Mozilla",
"Mozilla Maintenance Service","145.0.2","Mozilla",
"MSYS2","20241208","The MSYS2 Developers","Thu Sep 25 16:52:38 2025"
"Node.js","24.13.1","Node.js Foundation","20260221"
"Office 16 Click-to-Run Extensibility Component","16.0.19628.20214","Microsoft Corporation","20260220"
"Ollama version 0.16.1","0.16.1","Ollama","20260215"
"Pandoc 3.9","3.9","John MacFarlane","20260217"
"Play Free Sudoku online","1.0","Google\Chrome","20260123"
"PowerShell 7-x64","7.5.4.0","Microsoft Corporation","20251022"
"PowerToys (Preview)","0.97.2","Microsoft Corporation","20260210"
"PowerToys (Preview) x64","0.97.2","Microsoft Corporation","20260210"
"Pulsar","1.131.1","Pulsar-Edit",
"PyCharm","2025.3.2.1","JetBrains s.r.o.","20260211"
"Python 3.14.3","3.14-64","Python Software Foundation","20260211"
"Raspberry Pi Imager","v2.0.6","Raspberry Pi Ltd","20260123"
"Rustup: the Rust toolchain installer","1.28.2",,
"Slow Roads","1.0","Google\Chrome","20260123"
"Thorium","138.0.7204.303","The Thorium Authors","20260218"
"Tuanjie Hub 1.4.1","1.4.1","优三缔科技（上海）有限公司",
"Unity 6000.3.5f2","6000.3.5f2","Unity Technologies ApS",
"Unity Hub 3.14.4","3.14.4","Unity Technologies Inc.",
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation","20260129"
"vcpp_crt.redist.clickonce","14.44.35211","Microsoft Corporation","20250920"
"vcpp_crt.redist.clickonce","14.50.35719","Microsoft Corporation","20251206"
"Visual Studio Community 2026","18.3.1","Microsoft Corporation","20251206"
"VS Immersive Activate Helper","17.0.157.0","Microsoft Corporation","20250920"
"VS JIT Debugger","17.0.157.0","Microsoft Corporation","20250920"
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation","20250920"
"vs_BlendMsi","18.3.11407","Microsoft Corporation","20260211"
"vs_clickoncebootstrappermsi","18.3.11407","Microsoft Corporation","20260211"
"vs_clickoncebootstrappermsires","18.3.11407","Microsoft Corporation","20260211"
"vs_clickoncesigntoolmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_codecoveragemsi","18.3.11407","Microsoft Corporation","20260211"
"vs_communitymsires","18.3.11407","Microsoft Corporation","20260211"
"vs_communitysharedmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_communityx64msi","18.3.11407","Microsoft Corporation","20260211"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20250710"
"vs_devenvsharedmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_devenx64vmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_filehandler_amd64","18.3.11407","Microsoft Corporation","20260211"
"vs_filehandler_x86","18.3.11407","Microsoft Corporation","20260211"
"vs_FileTracker_Singleton","18.3.11407","Microsoft Corporation","20260211"
"vs_githubprotocolhandlermsi","18.3.11512","Microsoft Corporation","20260220"
"vs_Graphics_Singletonx64","18.3.11407","Microsoft Corporation","20260211"
"vs_Graphics_Singletonx86","18.3.11407","Microsoft Corporation","20260211"
"vs_minshellinteropsharedmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_minshellinteropx64msi","18.3.11407","Microsoft Corporation","20260211"
"vs_minshellmsires","18.3.11407","Microsoft Corporation","20260211"
"vs_minshellsharedmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_minshellx64msi","18.3.11407","Microsoft Corporation","20260211"
"vs_SQLClickOnceBootstrappermsi","18.3.11407","Microsoft Corporation","20260211"
"vs_tipsmsi","18.3.11407","Microsoft Corporation","20260211"
"vs_vswebprotocolselectormsi","18.3.11407","Microsoft Corporation","20260211"
"Windows Driver Package - libusb-win32 WorldCup Device (02/23/2013 1.2.6.0)","02/23/2013 1.2.6.0","libusb-win32",
"Windows Driver Package - wch.cn (CH341SER_A64) Ports  (02/11/2023 3.8.2023.02)","02/11/2023 3.8.2023.02","wch.cn",
"Windows SDK EULA","10.1.26100.7705","Microsoft Corporations","20260220"
"Windows Software Development Kit - Windows 10.0.26100.7705","10.1.26100.7705","Microsoft Corporation",
"Windows Subsystem for Linux","2.6.3.0","Microsoft Corporation","20260121"
