
DisplayName                                                                                   DisplayVersion         Publi
Pulsar                                                                                        1.131.1                Puls…
PyCharm                                                                                       2025.3.2.1             JetB…
Python 3.14.3                                                                                 3.14-64                Pyth…
Raspberry Pi Imager                                                                           v2.0.6                 Rasp…
Rustup: the Rust toolchain installer                                                          1.28.2                      
Slow Roads                                                                                    1.0                    Goog…
Thorium                                                                                       138.0.7204.303         The …
Tuanjie Hub 1.4.1                                                                             1.4.1                  优三…
Unity 6000.3.5f2                                                                              6000.3.5f2             Unit…
Unity Hub 3.14.4                                                                              3.14.4                 Unit…
Universal CRT Redistributable                                                                 10.0.26624             Micr…
vcpp_crt.redist.clickonce                                                                     14.44.35211            Micr…
vcpp_crt.redist.clickonce                                                                     14.50.35719            Micr…
Visual Studio Community 2026                                                                  18.3.1                 Micr…
VS Immersive Activate Helper                                                                  17.0.157.0             Micr…
VS JIT Debugger                                                                               17.0.157.0             Micr…
VS Script Debugging Common                                                                    17.0.157.0             Micr…
vs_BlendMsi                                                                                   18.3.11407             Micr…
vs_clickoncebootstrappermsi                                                                   18.3.11407             Micr…
vs_clickoncebootstrappermsires                                                                18.3.11407             Micr…
vs_clickoncesigntoolmsi                                                                       18.3.11407             Micr…
vs_codecoveragemsi                                                                            18.3.11407             Micr…
vs_communitymsires                                                                            18.3.11407             Micr…
vs_communitysharedmsi                                                                         18.3.11407             Micr…
vs_communityx64msi                                                                            18.3.11407             Micr…
vs_CoreEditorFonts                                                                            17.7.40001             Micr…
vs_devenvsharedmsi                                                                            18.3.11407             Micr…
vs_devenx64vmsi                                                                               18.3.11407             Micr…
vs_filehandler_amd64                                                                          18.3.11407             Micr…
vs_filehandler_x86                                                                            18.3.11407             Micr…
vs_FileTracker_Singleton                                                                      18.3.11407             Micr…
vs_githubprotocolhandlermsi                                                                   18.3.11512             Micr…
vs_Graphics_Singletonx64                                                                      18.3.11407             Micr…
vs_Graphics_Singletonx86                                                                      18.3.11407             Micr…
vs_minshellinteropsharedmsi                                                                   18.3.11407             Micr…
vs_minshellinteropx64msi                                                                      18.3.11407             Micr…
vs_minshellmsires                                                                             18.3.11407             Micr…
vs_minshellsharedmsi                                                                          18.3.11407             Micr…
vs_minshellx64msi                                                                             18.3.11407             Micr…
vs_SQLClickOnceBootstrappermsi                                                                18.3.11407             Micr…
vs_tipsmsi                                                                                    18.3.11407             Micr…
vs_vswebprotocolselectormsi                                                                   18.3.11407             Micr…
Windows Driver Package - libusb-win32 WorldCup Device (02/23/2013 1.2.6.0)                    02/23/2013 1.2.6.0     libu…
Windows Driver Package - wch.cn (CH341SER_A64) Ports  (02/11/2023 3.8.2023.02)                02/11/2023 3.8.2023.02 wch.…
Windows SDK EULA                                                                              10.1.26100.7705        Micr…
Windows Software Development Kit - Windows 10.0.26100.7705                                    10.1.26100.7705        Micr…
Windows Subsystem for Linux                                                                   2.6.3.0                Micr…
Windows 驱动程序包 - Adafruit Industries LLC (usbser) Ports  (02/25/2016 6.2.2600.0)          02/25/2016 6.2.2600.0  Adaf…
Windows 驱动程序包 - Arduino LLC (www.arduino.cc) Arduino USB Driver (11/24/2015 1.2.3.0)     11/24/2015 1.2.3.0     Ardu…
Windows 驱动程序包 - Arduino LLC (www.arduino.cc) Genuino USB Driver (01/07/2016 1.0.3.0)     01/07/2016 1.0.3.0     Ardu…
Windows 驱动程序包 - DFRobot Co.Ltd (www.dfrobot.com) DFRobot USB Driver (11/24/2015 1.2.3.0) 11/24/2015 1.2.3.0     DFRo…
Windows 驱动程序包 - FTDI CDM Driver Package - VCP Driver (03/18/2011 2.08.14)                03/18/2011 2.08.14     FTDI 
Windows 驱动程序包 - libusb-win32 (libusb0) libusb-win32 devices  (04/21/2015 1.0.0.0)        04/21/2015 1.0.0.0     libu…
Windows 驱动程序包 - mbed (mbedSerial_x64) Ports  (08/24/2009 2.0.2.0)                        08/24/2009 2.0.2.0     mbed 
Windows 驱动程序包 - mbed (mbedSerial) Ports  (08/24/2009 2.0.2.0)                            08/24/2009 2.0.2.0     mbed 
Windows 驱动程序包 - Silicon Laboratories Inc. (silabser) Ports  (05/23/2018 6.7.6.2130)      05/23/2018 6.7.6.2130  Sili…
Windows 驱动程序包 - Silicon Laboratories Inc. Ports  (04/13/2023 11.3.0.176)                 04/13/2023 11.3.0.176  Sili…
Windows 驱动程序包 - wch.cn (CH341SER_A64) Ports  (01/30/2019 3.5.2019.1)                     01/30/2019 3.5.2019.1  wch.…
Windows 驱动程序包 - wch.cn (CH343SER_A64) Ports  (02/11/2023 1.7.2023.02)                    02/11/2023 1.7.2023.02 wch.…
Windows 驱动程序包 - wch.cn (CH343SER_A64) Ports  (04/08/2021 1.4.2021.4)                     04/08/2021 1.4.2021.4  wch.…
WPT Redistributables                                                                          10.1.26100.7705        Micr…
WPTx64 (DesktopEditions)                                                                      10.1.26100.7705        Micr…
WPTx64 (OnecoreUAP)                                                                           10.1.26100.7705        Micr…
Yuanbao                                                                                       2.56.0.621             Tenc…
哔哩哔哩                                                                                      1.17.5                 哔哩…
天问Block 版本 2025 夏季正式版 SP1                                                            2025 夏季正式版 SP1    杭州…
夸克                                                                                          6.4.5.737              广州…
微信                                                                                          4.1.7.30               腾讯…
百度网盘                                                                                      8.2.5                  北京…
网易云音乐                                                                                    3.1.28.205001          网易…
网易有道翻译                                                                                  11.2.16.0              网易…
腾讯会议                                                                                      3.41.10.435            腾讯…

